Date,Price,Volume,Market_cap,Return,Log_Return,MA_7,Vol_7,MA_14,Vol_14,MA_30,Vol_30,MA_90,Vol_90
2017-12-31,1.01234,1929950000.0,1384972065.58858,-0.005970032010369053,-0.005987923897102969,1.0089957142857142,0.010388867469036896,1.0155657142857142,0.013631581034259951,1.0152771,0.01857221897150374,1.0065275333333332,0.011264247421954764
2018-01-01,1.00891,1681610000.0,1380279517.44767,-0.0033881897386254245,-0.0033939426517944505,1.0086557142857142,0.00809249483290398,1.0151878571428572,0.013627376008971293,1.0155864,0.018508123189926295,1.0066014222222222,0.01126983049591065
2018-01-02,1.00392,2632020000.0,1373452749.16104,-0.004945931748124299,-0.004958203348272064,1.00858,0.007877142279408056,1.0143742857142857,0.013675793934861262,1.0159286666666667,0.018496636820432476,1.006637311111111,0.011281190394275026
2018-01-03,1.01578,2461680000.0,1389678294.62786,0.011813690333891236,0.01174445345612193,1.0103057142857144,0.009036906022427226,1.0154607142857144,0.013440723525176763,1.0163956666666667,0.018560545356557236,1.0068116444444444,0.01134824589005482
2018-01-04,1.00274,3203460000.0,1472112403.15338,-0.01283742542676558,-0.012920537233156377,1.0093385714285714,0.01030165026477264,1.015062142857143,0.013786460600636844,1.0164083333333334,0.01872269391247959,1.0068317555555555,0.011431346818009029
2018-01-05,0.999695,3096040000.0,1467642069.599715,-0.003036679498174988,-0.003041299564840806,1.0088292857142858,0.010099418239259752,1.0125153571428571,0.011366119243101698,1.0160881666666666,0.018687279812533007,1.0068404888888889,0.011433953457161998
2018-01-06,1.00853,2622980000.0,1480612643.30961,0.008837695497126541,0.008798871640882907,1.0074164285714284,0.008663202905962696,1.009410357142857,0.010596967397985263,1.0153325,0.018312525754085155,1.0069537222222222,0.01147095205545742
2018-01-07,1.00133,2345900000.0,1470042396.48321,-0.0071391034475919435,-0.007164708785492235,1.0058435714285714,0.00877738198073303,1.007419642857143,0.009248573813826306,1.0147918333333334,0.018200691853542887,1.0069652777777778,0.011495148400936924
2018-01-08,1.01232,3798580000.0,1486176703.79184,0.010975402714390015,0.010915610083006245,1.0063307142857143,0.009879742701072076,1.0074932142857143,0.00868691692330054,1.0145871666666666,0.018317652646105773,1.0071020555555554,0.01155231062638295
2018-01-09,1.00419,2761970000.0,1474241133.41703,-0.008031057373162787,-0.008063480023214404,1.0063692857142859,0.010227126707609691,1.007474642857143,0.008770238500510234,1.0141715,0.018373625998458633,1.0071719555555556,0.011582440974522492
2018-01-10,1.0023,3152380000.0,1471466443.6251,-0.0018821139425805322,-0.0018838873445393496,1.0044435714285715,0.008822573544694843,1.0073746428571428,0.008783085729933807,1.0138915,0.018346047353413154,1.0072025,0.011583228188728156
2018-01-11,1.00616,3832640000.0,1477133270.39592,0.003851142372543137,0.003843745708079538,1.0049321428571427,0.007525489837982696,1.0071353571428572,0.008698635442288381,1.0116281666666667,0.014039980357262474,1.0072625,0.011589425597401972
2018-01-12,1.00389,2683030000.0,1473800706.46593,-0.0022561024091595216,-0.002258651242540922,1.0055314285714285,0.007469740613263253,1.007180357142857,0.008552587938955336,1.0111091666666667,0.010603535126978125,1.0072730555555556,0.011590027561157946
2018-01-13,1.00231,2764200000.0,1471481124.52347,-0.0015738776160734158,-0.0015751174625304011,1.0046428571428572,0.006539955169969951,1.006029642857143,0.007378728419393711,1.0108055,0.01051330159563196,1.0073066555555554,0.011584616430312108
2018-01-14,1.01702,2952650000.0,1493076726.02574,0.014676098213127764,0.014569446504746742,1.0068842857142857,0.008070581542926076,1.0063639285714285,0.008334601069220886,1.0108381666666666,0.01083017967759213,1.0075148666666667,0.011685302561517837
2018-01-15,1.00744,2554490000.0,1479012425.38728,-0.009419677095829138,-0.009464322840984607,1.006187142857143,0.008077612957062254,1.0062589285714285,0.008691584939436437,1.0108365,0.010858896362173121,1.0075659777777777,0.011720518048332863
2018-01-16,1.03035,5541320000.0,1667199879.47805,0.022740808385611322,0.022486090630409544,1.0099242857142856,0.011177483682548537,1.0081467857142856,0.010465415681969589,1.0114935,0.011614396250649072,1.0078960888888888,0.011957556309775835
2018-01-17,1.02089,5611060000.0,1651892740.29247,-0.009181346144514047,-0.009223754479680327,1.01258,0.012091783931137298,1.0085117857142856,0.010441080894458625,1.0117165,0.011739200578770316,1.0081136444444445,0.012000028570864128
