Date,Price,Volume,Market_cap,Return,Log_Return,MA_7,Vol_7,MA_14,Vol_14,MA_30,Vol_30,MA_90,Vol_90
2017-09-16,-1.0191868205594021,-0.5892497651121535,-1.0153324400956152,,,-1.0192646033623984,,-1.019168671854454,,-1.0185120420265585,,-1.020579440077184,
2017-09-17,-1.0189732915410563,-0.5892497553777661,-1.0151970497398057,0.8599721666506718,3.7913720124209758,-1.0191574843001991,,-1.0190611513015653,,-1.0184036812395145,,-1.0204670076577664,
2017-09-18,-1.0188845317791129,-0.5892497615758487,-1.0151407706654365,0.22886572419653362,1.2224249769474738,-1.0190920931050618,0.30358094032054134,-1.0189955150150738,0.28087045378854014,-1.0183375320292307,0.24709895485741654,-1.020398372905679,0.13974826724372963
2017-09-19,-1.018908065954282,-0.5892497630922496,-1.0151556927574168,-0.08869243111000306,-0.35269724364533445,-1.019065300589878,0.3405795880043801,-1.0189686220794312,0.3180523990701686,-1.018310428935042,0.2845250826816636,-1.0203702514187787,0.1743722776407451
2017-09-20,-1.0189158525099806,-0.5892497367988246,-1.0151606298942613,-0.048813996603216656,-0.14151546098511017,-1.0190507875635642,0.2953887213716111,-1.0189540546571507,0.2726376491926226,-1.0182957476736356,0.23881208350560748,-1.0203550185122536,0.13208183909516016
2017-09-21,-1.0192389976974698,-0.589249751171015,-1.015365523590457,-0.8933058459774981,-5.879982698593452,-1.0190951485987905,0.49154383969629184,-1.0189985819610339,0.4697645533590533,-1.018340622942262,0.43723356621851606,-1.0204015799590769,0.3156473822019745
2017-09-22,-1.0192463177726445,-0.5892496688001341,-1.0153701649523963,-0.06225931358484918,-0.2122463615742357,-1.0191278842502847,0.4249263048934151,-1.0190314403083305,0.40281698395046944,-1.0183737380656348,0.3698463364426085,-1.0204359393758151,0.2533054761585851
2017-09-23,-1.0192733489545194,-0.5892497652965477,-1.0153873043612418,-0.1561714552911378,-0.7199463539018954,-1.0191402864997512,0.37844327083518253,-1.0190594868939118,0.3561036650301075,-1.0184020038251183,0.32282624021670925,-1.0204652672148988,0.2098058037308256
2017-09-24,-1.0192862868753618,-0.5892497653136822,-1.0153955077957135,-0.09354999603802394,-0.3787119592439973,-1.0191851486078796,0.2028228011774121,-1.019082748631544,0.3175784660051131,-1.0184254473448,0.2840480371871755,-1.0204895916195968,0.17393094883861598
2017-09-25,-1.0192084710148426,-0.5892497593584785,-1.0153461678014697,0.37804234589823715,1.8884055275739813,-1.0192315793224225,0.23417154956716424,-1.0190935213309633,0.30647672947615523,-1.0184363042289613,0.2728733929544225,-1.020500856448756,0.16359295715765124
2017-09-26,-1.0192671053166953,-0.5892497528671891,-1.015383345513857,-0.28334978184584475,-1.4488490257315578,-1.019283040992721,0.23713665897737,-1.0191077034955458,0.28907677762696066,-1.0184505972220204,0.2553591715463923,-1.0205156864978373,0.1473900363806214
2017-09-27,-1.0191512047120768,-0.589249723322061,-1.0153098574936334,0.5484910589472717,2.601267214969167,-1.0193167743899363,0.32549911916405044,-1.019109795187297,0.298276133895403,-1.0184527052595844,0.2646189421419246,-1.0205178737444422,0.15595652220248554
2017-09-28,-1.0190394116642452,-0.5892495478602711,-1.015238973924604,0.40527056450096177,2.0055587573108635,-1.0192881674133394,0.1847303475685648,-1.019102904718724,0.28929636538184705,-1.0184457609444968,0.2555802013854922,-1.0205106684982659,0.1475945175784355
2017-09-29,-1.0190730860636221,-0.5892497639916353,-1.015260325536685,-0.1358237279149998,-0.6078550697466453,-1.0192633378430243,0.1921471570506525,-1.0190994209500719,0.2732999413571474,-1.0184422499514554,0.2394787250978845,-1.020507025580445,0.13269856881752085
2017-09-30,-1.0188917402311843,-0.5892496196817929,-1.0151453412684102,0.5838805262123969,2.7434318848785826,-1.0192086412711183,0.21589988904931565,-1.019078194527625,0.27961302535267935,-1.0184269366104994,0.24583326859452959,-1.0204911368441225,0.1385773436971808
2017-10-01,-1.0192145778390678,-0.5892496775786848,-1.0153500399175033,-0.8659179010725588,-5.635643175785109,-1.0191983631034034,0.39686584439423606,-1.0190955513094992,0.288633809338008,-1.0184340164671026,0.2965171936033074,-1.0204984827247565,0.1854665317720569
2017-10-02,-1.019183977410351,-0.5892497555458486,-1.0153306373776576,0.10675247344166397,0.6441780426768875,-1.0191948523969718,0.382108462544226,-1.0191170917473416,0.28427148184832784,-1.018438436461301,0.27982654463601625,-1.0205030687992498,0.17002552205579063
2017-10-03,-1.019108411672625,-0.5892497358005162,-1.0152827241004458,0.2843133048073877,1.4748914542488158,-1.0191721065901203,0.36517057704522354,-1.019131503493725,0.29247195834146333,-1.0184381044811117,0.268480554902995,-1.0205027243449791,0.1595290136185472
2017-10-04,-1.019088453726446,-0.5892497607082549,-1.0152700695625005,0.04337136246344639,0.33108893984546184,-1.019163112393741,0.33054264906289615,-1.0191439194563805,0.2926384590372051,-1.0184367413227726,0.25422911505530055,-1.0205013099662696,0.146344587920644
2017-10-05,-1.0190802695077377,-0.5892497636577648,-1.0152648802717859,0.00016562037711393527,0.11221660383536787,-1.019168968612003,0.3051556304156487,-1.0191325014413952,0.21473054800333274,-1.0184350991510596,0.24130525998307972,-1.0204996060903213,0.1343883499018076
2017-10-06,-1.0190572499123365,-0.5892497636274959,-1.0152502844376359,0.050450710021680396,0.3665232144265943,-1.019166698791806,0.3010488896425039,-1.0191189009608133,0.21325607599095384,-1.018432500816159,0.2293027665632553,-1.020496910123567,0.12328449061640018
