Date,Price,Volume,Market_cap,Return,Log_Return,MA_7,Vol_7,MA_14,Vol_14,MA_30,Vol_30,MA_90,Vol_90
2017-09-16,8.974551998349413e-05,1.5084568059091238e-11,5.83297221536874e-05,,,7.067522811059347e-05,,4.177997790470213e-05,,0.0,,0.0,
2017-09-17,0.00015201856124473682,6.316092716599629e-10,9.880381534803022e-05,0.04121745111566868,0.31937531892785204,0.00010273535598204725,,7.42633233352032e-05,,3.320942250208987e-05,,3.4471100684320096e-05,
2017-09-18,0.00017790422475156642,2.3905544549826974e-10,0.00011562808977504998,0.02926765548832571,0.26246412874826297,0.00012230656986989967,0.022363364096491114,9.409289181859626e-05,0.03116357320603875,5.348222719851693e-05,0.04518892913336524,5.551410110988056e-05,0.053932598137953446
2017-09-19,0.0001710407798076002,1.4301461898243923e-10,0.00011116722446563393,0.02325479489867183,0.2275696451273769,0.00013032541773087754,0.02423963240920543,0.00010221759444196626,0.03382113070921453,6.178853550966706e-05,0.04908078002825665,6.413597913533078e-05,0.058651986066790465
2017-09-20,0.00016876992918475554,1.808301311642573e-09,0.00010969129853599675,0.024009880111304737,0.23224806256046557,0.00013466908420696434,0.021947921863141335,0.00010661860054971941,0.030575138376705835,6.6287914170629e-05,0.044327197782533544,6.880629626683588e-05,0.052887634020660615
2017-09-21,7.452871667988398e-05,8.980426684523614e-10,4.8439619971666034e-05,0.008019701069973045,0.10512087940362233,0.00012139207792383022,0.03189530253592436,9.316632789793157e-05,0.04466466702501352,5.253495245483692e-05,0.06496055928571354,5.453083790911119e-05,0.07790833492604697
2017-09-22,7.239390921003804e-05,6.114979288040531e-09,4.705211408501018e-05,0.023755297398679317,0.230681124947733,0.00011159448306713068,0.028517006910368882,8.323939749408721e-05,0.039879629177919686,4.238613244996888e-05,0.057953127158639234,4.399644827337356e-05,0.06941088949819947
2017-09-23,6.451060642863348e-05,3.4060191179006896e-12,4.1928395879489735e-05,0.021977101479854145,0.21943378881407474,0.00010788256013176554,0.026159768218091538,7.47661623487393e-05,0.03654082239267086,3.372350111775405e-05,0.05306362310858119,3.500470995497517e-05,0.0634817141482051
2017-09-24,6.0737425225001726e-05,2.3208071821753294e-12,3.947603086920686e-05,0.02316281848355131,0.22699332790228063,9.445558557046072e-05,0.017253736703139337,6.773849146615203e-05,0.03378725662426547,2.6538745716103446e-05,0.04903117324169978,2.75469943976834e-05,0.0585918312263334
2017-09-25,8.343143810639176e-05,3.7949196792185164e-10,5.422591104559361e-05,0.03209226639671832,0.27721793458748173,8.055913600451651e-05,0.01884348840837905,6.448392006506832e-05,0.032993766585287056,2.321142719981787e-05,0.04786914949824542,2.4093265818799956e-05,0.05718272255902061
2017-09-26,6.63314845409237e-05,7.906159613578786e-10,4.311186834353763e-05,0.01956902114930567,0.2032860372232123,6.515694991018636e-05,0.018993854467096657,6.019930527553086e-05,0.03175011533892334,1.8831041469262943e-05,0.04604788873142871,1.9546462346242867e-05,0.05497420113558641
2017-09-27,0.00010013243201646525,2.661848345338389e-09,6.508064862636226e-05,0.03531965744973804,0.2930103220921203,5.5060735417073394e-05,0.02347487457081704,5.956737822657927e-05,0.03240763387622446,1.818498940532045e-05,0.04701078947948216,1.8875865748482925e-05,0.05614184663120306
2017-09-28,0.0001327354624348492,1.3774671558584134e-08,8.627084464654449e-05,0.03260782387753555,0.27981328966706975,6.362264128970939e-05,0.01633623567186889,6.16490776302959e-05,0.03176581024356547,2.0313219552313308e-05,0.04607087308025416,2.1084950705373655e-05,0.055002072721967436
2017-09-29,0.00012291474917491916,8.605228015349606e-11,7.988791484300046e-05,0.0223623790927402,0.2219170040388129,7.105399088287784e-05,0.016712355489317213,6.270156906084244e-05,0.03062247531665871,2.138923657376296e-05,0.04439652020054213,2.2201847305490676e-05,0.05297169669201756
2017-09-30,0.00017580197074994932,9.225875637569504e-09,0.0001142617368349957,0.035989745524792865,0.2961597683260486,8.74243646840118e-05,0.01791689947077073,6.911434498201887e-05,0.031073699253798825,2.6082329191451847e-05,0.04505731353481868,2.7073237891551364e-05,0.05377299668255271
2017-10-01,8.165045995229861e-05,5.558992236715244e-09,5.30683663721582e-05,0.008538282916474692,0.11053385711741648,9.05005619962625e-05,0.027094010228850197,6.38706373741872e-05,0.031718454442994995,2.3912559521006957e-05,0.05032781012020753,2.4821035259392287e-05,0.06016417626158304
2017-10-02,9.057468849436561e-05,6.209638162507809e-10,5.886863332049557e-05,0.026955480723896464,0.2496539303313182,9.155129652287508e-05,0.026345636715839504,5.736299335296779e-05,0.03140665967099749,2.2557960142430142e-05,0.048592190623990596,2.34149725203338e-05,0.05805950629330335
2017-10-03,0.00011261248148288638,1.87152889788499e-09,7.319200543600421e-05,0.030317537428611055,0.268057147018108,9.835898752791703e-05,0.025486685920725897,5.300901894111473e-05,0.031992783868343255,2.265970239318394e-05,0.04741234908379044,2.3520580119182067e-05,0.056628791172621304
2017-10-04,0.00011843296441081856,2.940042585669514e-10,7.69749997642612e-05,0.025755379961371474,0.24271790820694147,0.00010105089950044321,0.02373064109002323,4.9257996527659145e-05,0.032004684406894995,2.307747068794303e-05,0.045930376938950836,2.3954220088394146e-05,0.05483170242484596
2017-10-05,0.00012081978842783572,1.0719787472816353e-10,7.852630550345267e-05,0.0249372932597817,0.23786911803426847,9.929816658377158e-05,0.022443219478045656,5.270752608211798e-05,0.02643626263776502,2.3580748448569845e-05,0.04458645706659676,2.447661816254478e-05,0.05320202045752358
