Date,Price,Return,Log_Return,MA_7,Vol_7,MA_14,Vol_14,MA_30,Vol_30,MA_90,Vol_90
2014-06-02,0.00031194386453464046,,,0.00020837192133069636,,0.0001770339736138335,,7.272179821456583e-05,,1.0403995067962682e-05,
2014-06-03,0.0004842529088010724,0.3125766184948309,0.48257103598413426,0.0003005796765242713,,0.00027048993104506077,,0.00017493551046435544,,0.00012803546672754103,
2014-06-04,0.00039127493673510457,0.19156820916888295,0.3326635483459278,0.0002981453875846767,0.26948143911501254,0.0002680226895095039,0.3678206122210546,0.0001722370638024427,0.5150880494050338,0.00012492999051452627,0.7452824730660065
2014-06-05,0.0004156561805819986,0.24108260367119458,0.3979330745657755,0.0003034518117804718,0.19159707230014206,0.0002734009459556472,0.259088529454467,0.00017811931649025265,0.3574973320327929,0.00013169951316574957,0.4952216112140422
2014-06-06,0.0003462054167649545,0.19974677919907297,0.34387355052347757,0.0002917695887677484,0.17419792760874828,0.00026156058248201996,0.2347980932858153,0.0001651693929295543,0.3222920166952784,0.00011679624301935958,0.439358730189936
2014-06-07,0.00034217377975246527,0.22831211766841492,0.381673577207959,0.0002832622899936988,0.15127287087363211,0.00025293812170946095,0.20279309320311015,0.00015573892163038647,0.27590560714438905,0.00010594329390962022,0.36575397894614997
2014-06-08,0.000352325023566965,0.2349120874273151,0.3901239344191617,0.00027873771545932464,0.1353029656513576,0.0002483522987036717,0.18049797638550288,0.000150723361295593,0.24359220558169675,0.0001001711941551629,0.3144799116732081
2014-06-09,0.00048556930160208254,0.2917147636788996,0.4589147718144998,0.00030528405734446084,0.1409321998851003,0.00026297999175515694,0.1883567853820595,0.00016672181500083732,0.2549823612372026,0.00011858283005217922,0.33255351516544984
2014-06-10,0.0005820841590237843,0.2702277300949893,0.4336824963980103,0.0003202418991176889,0.11242568618746511,0.000285989787666367,0.17866926446999334,0.00019188785815999637,0.2409417640992968,0.00014754488051979108,0.3102742598909929
2014-06-11,0.0004981265698425895,0.19773606356592427,0.3411341751555548,0.00033657890613328335,0.10849496072855416,0.0002952903405450298,0.1804914190385318,0.0002020599655551097,0.24358270169851032,0.00015925133297542936,0.31446483115793306
2014-06-12,0.00033755315267240996,0.16419302059653568,0.2937770393287959,0.00032463739735339803,0.13886052838323978,0.0002870651824252049,0.19916528031478098,0.00019306402812771279,0.27064764076484926,0.00014889846215946538,0.35741077430579865
2014-06-13,0.00034673256287542605,0.23447637495697443,0.38956920322051136,0.0003247179949957041,0.13378100590839664,0.0002810406630021959,0.18852118584832792,0.00018647495117989099,0.2552206348612919,0.00014131549896215646,0.33293160157047347
2014-06-14,0.00036853697517671925,0.2403007055903747,0.39694835230611986,0.0003287487776433243,0.13404694113634968,0.0002777624000777762,0.1795660404859345,0.00018288948234038583,0.24224150537232803,0.000137189203508276,0.31233665562304014
2014-06-15,0.00036744145365104634,0.2296845690644707,0.38343924722964773,0.00033105999383302876,0.1340916807890585,0.0002748675772186529,0.17163755624077426,0.0001797233857225829,0.2307503659765024,0.00013354553773808637,0.29410281375154307
2014-06-16,0.0004192401851431379,0.25380103893953815,0.41375885233692655,0.0003209186491533651,0.11229254679198927,0.000283181111786735,0.16619929564666083,0.0001810763691432217,0.22286842932563122,0.00013510260310043028,0.28159596115994107
2014-06-17,0.00043035148276777035,0.23503913349702937,0.3902856013759334,0.00029771958588780106,0.0967395256759146,0.00027900472096498586,0.13617579748390496,0.00018308413225189848,0.21366360820889957,0.00013741321411356224,0.2669899898183288
2014-06-18,0.0004295445663752049,0.22983411270131113,0.38363136712499313,0.00028723378759716437,0.09069047307317826,0.0002819699287849404,0.12801392341307538,0.00018479937467201523,0.2055404379034863,0.0001393871810666282,0.25410035392217456
2014-06-19,0.0003966023518962386,0.21590628254151448,0.365507661313598,0.0002962620743339195,0.03628179711920893,0.0002804935998434164,0.12878709616789785,0.0001841527769143327,0.19989635877305978,0.0001386430514960077,0.2451444755858802
2014-06-20,0.0004069921366881029,0.23480786262878828,0.3899912797506778,0.0003054754204616678,0.03628888842236062,0.0002852034770740191,0.12320230798281855,0.00018422300203284662,0.19303432197872095,0.00013872386926356943,0.23425597362672534
2014-06-21,0.00040110223601244296,0.22758422962255978,0.3807353298688964,0.0003104544636383191,0.0359077137367404,0.00028976937230120576,0.12324302089438645,0.000183936815775213,0.18692727240588256,0.00013839451511026457,0.22456546580354292
2014-06-22,0.0004013967310462261,0.23031420249058676,0.38424778560261613,0.0003156460324416101,0.035837345399352606,0.0002935715468224756,0.12324797371304373,0.00018369452291660594,0.1811807784889616,0.0001381156751688983,0.21544707834104992
2014-06-23,0.0003737141978706241,0.21791085694586312,0.3681452625211095,0.0003086853679030088,0.024047448629861714,0.0002849047885756487,0.10052379984416678,0.00018198141335224426,0.17692194044754514,0.00013614416278827477,0.2086892646266228
2014-06-24,0.00037194722766792615,0.22938217687880882,0.3830506001524372,0.0002997556894548854,0.021901361294326134,0.00026862295679474396,0.08620341896917351,0.00018032612491583697,0.1719741706855329,0.00013423919318576358,0.2008382719313398
2014-06-25,0.0003336628732761366,0.21279362770602767,0.36139222675147087,0.00028509592387834185,0.02655579169702807,0.00025587997904074743,0.081437387312371,0.0001769162541675267,0.16902383774881147,0.00013031498276952838,0.19615676016967848
2014-06-26,0.00036664631705983226,0.24566008305905934,0.4036702791086813,0.00028051581651779766,0.033964659962765965,0.0002581341758897916,0.04056298713902056,0.0001753444351911275,0.16551714518331573,0.00012850607303220834,0.19059243138306303
