Date,Price,Return,Log_Return,MA_7,Vol_7,MA_14,Vol_14,MA_30,Vol_30,MA_90,Vol_90
2019-03-16,0.03697288566881423,0.48225614809547845,0.6149650845186938,0.03742473201640647,0.031032328013972744,0.037271273964285305,0.045912398478570066,0.038115755056464015,0.0993868042763893,0.03776105112251349,0.15629428201115145
2019-03-17,0.03774757635301828,0.49036135274858106,0.6224418590808753,0.03751545934967365,0.03129390760396175,0.03740094503193951,0.04933085960997009,0.03825412536127751,0.10031060744313805,0.037850285648109036,0.15676719643276385
2019-03-18,0.037495910463609665,0.46362976972358966,0.5975458664051042,0.03759427663149381,0.032044941354187714,0.03752094377714137,0.04990645598325821,0.038379823078561644,0.1007691026470352,0.0379038687441543,0.14500610044286946
2019-03-19,0.03754975609905074,0.471472238838251,0.6049208524527574,0.03776767598134686,0.022437041572241023,0.03770979562766055,0.04083162727766829,0.03850034220786584,0.10076472565135705,0.03794121785540829,0.14231138032026258
2019-03-20,0.0378028415632669,0.47660559370426975,0.6097159688405114,0.037955826491846645,0.022531555988146545,0.03782088559204722,0.025681708229728907,0.038615693297876286,0.10052135769258516,0.037977990765384856,0.1422701975316892
2019-03-21,0.03810420422885042,0.47779792229140483,0.6108261189361582,0.03820252178702351,0.020465170955016092,0.03794848685784199,0.026026869174494677,0.038668338336000536,0.08581418249406553,0.03797578721009284,0.12516828699358462
2019-03-22,0.03751783452220222,0.4551887955667645,0.5895405247398331,0.03834884564770072,0.031559862379859256,0.03802549125280744,0.030956052520753334,0.03869094765541918,0.08691811429055532,0.03799125927864466,0.12043501988792435
2019-03-23,0.03757284734836483,0.4715015362647531,0.6049482914552764,0.03843626456858252,0.029551536147416554,0.038113251010479764,0.030641943840380007,0.038695035265677254,0.08584791670010467,0.03799448603939839,0.11892570070156036
2019-03-24,0.03775921733331418,0.474883069748128,0.608109764614623,0.0384379607468055,0.019123950501561876,0.03815968545457008,0.025424261735752823,0.038719572275038396,0.08535430155405802,0.03800208466660605,0.11891240358711436
2019-03-25,0.03761274949181416,0.4663281666895851,0.6000901810815709,0.03845498507037591,0.018083681070493886,0.03820783718128206,0.025300326569662412,0.03872611054566256,0.08504977171957462,0.03799885738250947,0.11823024917948191
